Column1,user_id,task_id,created_at,updated_at,Разница,attempts,solved,points,max_attempts,results,answers,skipped,resource_type,type,submitted_at,wk_partial_answer,performance
31,669160,1194541,11/29/2025 13:08,1/16/2026 17:34,48.00.0000 04:26,1,TRUE,1.0,1,"[{""1243460"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243460"": [""10306900"", ""10306903"", ""10306904"", ""10306901""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:34,,1.0
32,669160,1194536,1/16/2026 17:35,1/16/2026 17:35,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243452"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243452"": ""10306858""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:35,,1.0
33,669160,1194537,1/16/2026 17:34,1/16/2026 17:35,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243453"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243453"": ""10306862""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:35,,1.0
34,669160,1194539,1/16/2026 17:35,1/16/2026 17:36,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243455"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243455"": {""10306867"": ""10306868"", ""10306869"": ""10306870"", ""10306871"": ""10306872""}}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:36,,1.0
35,669160,220000003,1/16/2026 17:40,1/16/2026 17:41,00.00.0000 00:01,1,TRUE,1.0,1,"[{""220000003"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000003"": [""25""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:41,,1.0
36,669160,220000002,1/16/2026 17:42,1/16/2026 17:42,00.00.0000 00:00,1,TRUE,1.0,1,"[{""220000002"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000002"": [""12000000""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:42,,1.0
37,669160,1197166,1/16/2026 17:46,1/16/2026 17:46,00.00.0000 00:00,0,,0.0,1,[],[],,Lesson,UserAnswers::LessonAnswer,,,0.0
38,669160,1204763,1/16/2026 17:51,1/16/2026 17:51,00.00.0000 00:00,0,,0.0,1,[],[],,Lesson,UserAnswers::LessonAnswer,,,0.0
39,669160,1194540,1/16/2026 17:36,1/16/2026 17:36,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1243458"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1243458"": {""10306880"": ""10306881"", ""10306882"": ""10306881"", ""10306884"": ""10306881"", ""10306886"": ""10306887"", ""10306888"": ""10306887"", ""10306890"": ""10306887""}}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:36,,1.0
40,669160,1201587,1/16/2026 17:46,1/16/2026 17:46,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253874"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253874"": ""10352785""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:46,,0.0
41,669160,1201590,1/16/2026 17:46,1/16/2026 17:47,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253877"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253877"": ""10352800""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:47,,0.0
42,669160,1201592,1/16/2026 17:47,1/16/2026 17:48,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253879"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253879"": ""10352805""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:48,,0.0
43,669160,220000000,1/16/2026 17:36,1/16/2026 17:37,00.00.0000 00:00,1,FALSE,0.0,1,"[{""220000000"": {""points"": 0.0, ""coefficient"": 0}}]","[{""220000000"": [""24""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:37,,0.0
44,669160,220000004,1/16/2026 17:42,1/16/2026 17:45,00.00.0000 00:02,1,TRUE,1.0,1,"[{""220000004"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000004"": [""7.62""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:45,,1.0
45,669160,1201588,1/16/2026 17:47,1/16/2026 17:47,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253875"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253875"": ""10352791""}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:47,,1.0
46,669160,220000001,1/16/2026 17:39,1/16/2026 17:40,00.00.0000 00:01,1,TRUE,1.0,1,"[{""220000001"": {""points"": 1.0, ""coefficient"": 1}}]","[{""220000001"": [""15120""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:40,,1.0
47,669160,1201594,1/16/2026 17:48,1/16/2026 17:50,00.00.0000 00:02,1,TRUE,1.0,1,"[{""1253881"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253881"": [""0.25""]}]",,Lesson,UserAnswers::LessonAnswer,1/16/2026 17:50,,1.0
48,669160,1201598,1/16/2026 17:48,1/16/2026 17:48,00.00.0000 00:00,0,,0.0,1,[],[],,Lesson,UserAnswers::LessonAnswer,,,0.0
49,669160,1201601,1/16/2026 17:50,1/16/2026 17:50,00.00.0000 00:00,0,,0.0,1,[],[],,Lesson,UserAnswers::LessonAnswer,,,0.0
50,671753,1201590,12/20/2025 15:21,12/20/2025 15:21,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253877"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253877"": ""10352799""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:21,,1.0
51,671753,1201588,12/20/2025 15:21,12/20/2025 15:22,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253875"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253875"": ""10352792""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:22,,0.0
52,671753,1201592,12/20/2025 15:22,12/20/2025 15:22,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253879"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253879"": ""10352808""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:22,,1.0
53,671753,1199813,12/20/2025 15:22,12/20/2025 15:22,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1251596"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1251596"": ""10343106""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:22,,1.0
54,671753,1199814,12/20/2025 15:22,12/20/2025 15:23,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1251597"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1251597"": [""2.5""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:23,,1.0
55,672661,1203172,12/20/2025 15:30,12/20/2025 15:34,00.00.0000 00:04,2,TRUE,2.0,2,"[{""1255941"": {""points"": 0.5, ""coefficient"": 1}, ""1255943"": {""points"": 0.0, ""coefficient"": 0}, ""1255944"": {""points"": 0.0, ""coefficient"": 0}}, {""1255941"": {""points"": 0.5, ""coefficient"": 1}, ""1255943"": {""points"": 0.5, ""coefficient"": 1}, ""1255944"": {""points"": 0.5, ""coefficient"": 1}}]","[{""1255941"": [""10361255""], ""1255943"": ""10361263"", ""1255944"": ""10361266""}, {""1255941"": [""10361255""], ""1255943"": ""10361261"", ""1255944"": ""10361264""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:34,,0.6666666666666666
56,672661,1203165,12/20/2025 15:23,12/20/2025 15:23,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255934"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255934"": ""10361214""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:23,,1.0
57,671753,1199818,12/20/2025 15:23,12/20/2025 15:23,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1251601"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1251601"": [""23""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:23,,1.0
58,671753,1197166,12/20/2025 15:25,12/20/2025 15:25,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1248075"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1248075"": [""117""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:25,,1.0
59,671753,1197167,12/20/2025 15:25,12/20/2025 15:26,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1248076"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1248076"": [""2""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:26,,0.0
60,672661,1203166,12/20/2025 15:23,12/20/2025 15:24,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255935"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255935"": ""10361219""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:24,,1.0
61,671753,1197168,12/20/2025 15:26,12/20/2025 15:26,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1248077"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1248077"": [""27""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:26,,1.0
62,671753,1197169,12/20/2025 15:26,12/20/2025 15:27,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1248078"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1248078"": [""14""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:27,,0.0
63,671753,1197170,12/20/2025 15:27,12/20/2025 15:28,00.00.0000 00:01,1,FALSE,0.0,1,"[{""1248079"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1248079"": [""0.024""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:28,,0.0
64,671753,1203165,12/20/2025 15:33,12/20/2025 15:33,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255934"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255934"": ""10361214""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:33,,1.0
65,671753,1203166,12/20/2025 15:33,12/20/2025 15:34,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255935"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255935"": ""10361219""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:34,,1.0
66,671753,1203170,12/20/2025 15:35,12/20/2025 15:35,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255939"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255939"": ""10361242""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:35,,1.0
67,671753,1199819,12/20/2025 15:23,12/20/2025 15:24,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1251602"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1251602"": [""2""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:24,,1.0
68,671753,1203168,12/20/2025 15:34,12/20/2025 15:34,00.00.0000 00:00,2,FALSE,0.0,2,"[{""1255937"": {""points"": 0.0, ""coefficient"": 0}}, {""1255937"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1255937"": {""10361227"": ""10361232"", ""10361229"": ""10361234"", ""10361231"": ""10361228"", ""10361233"": ""10361230""}}, {""1255937"": {""10361227"": ""10361232"", ""10361229"": ""10361234"", ""10361231"": ""10361228"", ""10361233"": ""10361230""}}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:34,,0.0
69,671753,1203172,12/20/2025 15:35,12/20/2025 15:36,00.00.0000 00:00,2,FALSE,2.0,2,"[{""1255941"": {""points"": 0.5, ""coefficient"": 1}, ""1255943"": {""points"": 0.5, ""coefficient"": 1}, ""1255944"": {""points"": 0.0, ""coefficient"": 0}}, {""1255941"": {""points"": 0.5, ""coefficient"": 1}, ""1255943"": {""points"": 0.5, ""coefficient"": 1}, ""1255944"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1255941"": [""10361255""], ""1255943"": ""10361261"", ""1255944"": ""10361266""}, {""1255941"": [""10361255""], ""1255943"": ""10361261"", ""1255944"": ""10361266""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:36,,0.6666666666666666
70,671753,1203176,12/20/2025 15:36,12/20/2025 15:36,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255947"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255947"": ""10361278""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:36,,1.0
71,671753,1203179,12/20/2025 15:36,12/20/2025 15:37,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1255954"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1255954"": ""10361299""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:37,,0.0
72,671753,1201587,12/20/2025 15:20,12/20/2025 15:21,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253874"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253874"": ""10352787""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:21,,1.0
73,671753,1199866,12/20/2025 15:24,12/20/2025 15:25,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1251677"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1251677"": [""5""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:25,,1.0
74,671753,1201598,12/20/2025 15:29,12/20/2025 15:29,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253885"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253885"": [""3.5""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:29,,0.0
75,672661,1203168,12/20/2025 15:25,12/20/2025 15:29,00.00.0000 00:04,2,FALSE,0.0,2,"[{""1255937"": {""points"": 0.0, ""coefficient"": 0}}, {""1255937"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1255937"": {""10361227"": ""10361234"", ""10361229"": ""10361232"", ""10361231"": ""10361230"", ""10361233"": ""10361228""}}, {""1255937"": {""10361227"": ""10361234"", ""10361229"": ""10361232"", ""10361231"": ""10361230"", ""10361233"": ""10361228""}}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:29,,0.0
76,671753,1201594,12/20/2025 15:28,12/20/2025 15:29,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253881"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253881"": [""0.25""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:29,,1.0
77,672661,1203170,12/20/2025 15:29,12/20/2025 15:30,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255939"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255939"": ""10361242""}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:30,,1.0
78,671753,1201601,12/20/2025 15:29,12/20/2025 15:30,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253888"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253888"": [""86""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:30,,0.0
79,671753,1201602,12/20/2025 15:31,12/20/2025 15:31,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1253889"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1253889"": [""25""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:31,,0.0
80,671753,1201599,12/20/2025 15:30,12/20/2025 15:31,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1253886"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1253886"": [""540""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:31,,1.0
81,671753,1203184,12/20/2025 15:38,12/20/2025 15:38,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1255968"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1255968"": [""10""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:38,,1.0
82,671753,1203185,12/20/2025 15:38,1/23/2026 18:27,34.00.0000 02:48,1,FALSE,0.5,1,"[{""1255969"": {""points"": 1.0, ""coefficient"": 1}}, {""1255969"": {""points"": 0.5, ""coefficient"": 0}}]","[{""1255969"": [""10361346""]}]",,Lesson,UserAnswers::LessonAnswer,12/20/2025 15:39,,1.0
83,672661,1206981,1/17/2026 11:47,1/17/2026 11:48,00.00.0000 00:00,1,TRUE,1.0,1,"[{""1261228"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261228"": [""920""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:48,,1.0
84,672661,1206980,1/17/2026 11:46,1/17/2026 11:47,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1261227"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1261227"": ""10380925""}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:47,,0.0
85,672661,1206983,1/17/2026 11:48,1/17/2026 11:50,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1261230"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261230"": ""10380932""}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:50,,1.0
86,672661,1206985,1/17/2026 11:50,1/22/2026 9:05,04.00.0000 21:15,1,FALSE,0.0,1,"[{""1261232"": {""points"": 0.0, ""coefficient"": 0}}, {""1261232"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1261232"": [""13400""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:53,,0.0
87,672661,1206986,1/17/2026 11:53,1/17/2026 11:56,00.00.0000 00:02,1,TRUE,1.0,1,"[{""1261233"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261233"": [""20""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:56,,1.0
88,672661,1206988,1/17/2026 11:57,1/17/2026 12:07,00.00.0000 00:10,1,TRUE,1.0,1,"[{""1261236"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261236"": [""1""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 12:07,,1.0
89,672661,1206987,1/17/2026 11:56,1/17/2026 11:57,00.00.0000 00:01,1,TRUE,1.0,1,"[{""1261235"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261235"": [""3""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 11:57,,1.0
90,672661,1206990,1/17/2026 12:11,1/17/2026 12:11,00.00.0000 00:00,1,FALSE,0.0,1,"[{""1261238"": {""points"": 0.0, ""coefficient"": 0}}]","[{""1261238"": [""2""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 12:11,,0.0
91,672661,1206991,1/17/2026 12:11,1/17/2026 12:15,00.00.0000 00:03,1,TRUE,1.0,1,"[{""1261239"": {""points"": 1.0, ""coefficient"": 1}}]","[{""1261239"": [""2""]}]",,Lesson,UserAnswers::LessonAnswer,1/17/2026 12:15,,1.0
